Name,Sku,CategoryPath,ListPrice,Quantity,Vendor,Currency
Asus VivoBook W202NA-DH02 Rugged 11.6-inch Windows 10 Home Laptop,123123,Laptops/Asus-Laptops,199.5,25,Asus,USD
Asus VivoBook Flip 14 Thin and Light 2-in-1 HD Touchscreen Laptop,234234,Laptops/Asus-Laptops,349,25,Asus,USD
Asus Vivobook 15 Red,345345,Laptops/Asus-Laptops,349,25,Asus,USD
Asus Vivobook Flip 12,456456,Laptops/Asus-Laptops,399,25,Asus,USD
"Asus ROG Strix GL553VE 15.6"" Gaming Laptop GTX 1050Ti",567567,Laptops/Asus-Laptops,1229,25,Asus,USD
Asus VivoBook 15 X505BA 1366*768 Notebook,678678,Laptops/Asus-Laptops,429.99,25,Asus,USD
"Asus Flip C101 C101PA-DB02 10.1"" Rockchip RK3399",789789,Laptops/Asus-Laptops,299,25,Asus,USD
"Asus VivoBook Flip TP510UA 15.6""",890890,Laptops/Asus-Laptops,798.95,25,Asus,USD
"Asus VivoBook E403SA-US21 14"" Laptop",321321,Laptops/Asus-Laptops,637,25,Asus,USD
"Asus ROG Strix GL503VD-DB71 15.6"" Full HD",432432,Laptops/Asus-Laptops,974,25,Asus,USD
CHROMEBOOK FLIP ROCKCHIP,543543,Laptops/Asus-Laptops,287.5,25,Asus,USD
"Asus Chromebook Flip C302CA-DHM4 12.5"" Touchscreen LCD",654654,Laptops/Asus-Laptops,469.9,25,Asus,USD
C202SA-YS02 N3060,765765,Laptops/Asus-Laptops,254.38,25,Asus,USD
"15.6"" Vivobook Max Laptop",876876,Laptops/Asus-Laptops,295,25,Asus,USD
"Asus Chromebook Flip C213SA-YS02 11.6"" 2-in 1",987987,Laptops/Asus-Laptops,301.85,25,Asus,USD
